Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,171.09368896484375,172.30134094551912,170.05261843555843,171.88491273380498,121465900
2015-01-05,168.00384521484375,170.21091026397656,167.6956923196323,170.04434147489965,169632600
2015-01-06,166.42135620117188,168.8366344492853,165.62180854113814,168.3119309002513,209151400
2015-01-07,168.4951934814453,168.83666769037663,167.30421480767498,167.75395171797908,125346700
2015-01-08,171.48509216308594,171.70164291560283,169.894346426889,169.9109944014076,147217800
2015-01-09,170.11090087890625,171.91819754194108,169.49458263607895,171.90153685743797,158567300
2015-01-12,168.7783203125,170.40240022764533,168.17033878553147,170.24415550086678,144396100
2015-01-13,168.30361938476562,171.13532600332968,166.99602876356442,170.00264081422807,214553300
2015-01-14,167.28756713867188,167.48745728568636,165.3803312308905,166.27980512149963,192991100
2015-01-15,165.7550506591797,168.24528265661644,165.63845129516972,167.9288059305194,176613900
2015-01-16,167.9288330078125,168.08707775056558,165.363633877596,165.54686329463857,211879600
2015-01-20,168.2869110107422,168.83659911771127,166.7128134014225,168.57007905068033,130991100
2015-01-21,169.13648986816406,169.61954813553254,167.35417756847113,167.82057514844598,122942700
2015-01-22,171.65174865722656,171.78499605354645,168.5118757477221,169.89442074015338,174356000
2015-01-23,170.7105712890625,171.6517030544697,170.5773112197628,171.3935069045591,117516800
2015-01-26,171.1103515625,171.20196627843544,169.77778889516196,170.49404593564412,92009700
2015-01-27,168.853271484375,170.00260440495,168.02041527983047,169.04482485307466,134044600
2015-01-28,166.68783569335938,170.14418376398604,166.4962823299182,170.04424508886487,168514300
2015-01-29,168.2286376953125,168.48682109821786,165.47187284616663,166.88773863099107,173585400
2015-01-30,166.11325073242188,168.37862176115345,165.84674322171531,167.04605879085364,197729700
2015-02-02,168.1703643798828,168.26197909309886,164.78896939671293,166.61292696359033,163107000
2015-02-03,170.60226440429688,170.61060109982662,168.69502925945505,169.06981201535058,124212900
2015-02-04,169.95269775390625,171.05207444943656,169.4946241307686,169.83609835059684,134306700
2015-02-05,171.6683807373047,171.81830151830403,170.54403206752795,170.6189861038367,97953200
2015-02-06,171.1936798095703,172.60120952271095,170.66897607527014,172.0348604159708,125672000
2015-02-09,170.42742919921875,171.26860968691878,170.01932494030876,170.5440286005671,87219000
2015-02-10,172.2429962158203,172.5011796157628,170.4690083656149,171.46844601599284,96164200
2015-02-11,172.3429412841797,172.776030101501,171.42680701522008,172.07643388701297,91087800
2015-02-12,174.00035095214844,174.05865699795564,172.3762835755281,173.14250990941105,97545900
2015-02-13,174.71661376953125,174.76658311996,173.86709668710282,174.12529284495133,93670400
2015-02-17,174.99147033691406,175.16637578422018,174.1502898920518,174.40013666194488,76968200
2015-02-18,175.0081329345703,175.08308696635635,174.35016921098767,174.61668937962395,80652900
2015-02-19,174.88316345214844,175.24962225987048,174.2668579195056,174.40844196642027,91462500
2015-02-20,175.93258666992188,176.00754069427418,173.8421090181995,174.46675130456183,140896400
2015-02-23,175.9076385498047,175.9076385498047,175.29964411470027,175.68276372163754,74411100
2015-02-24,176.40733337402344,176.60722350920213,175.53283150664134,175.8326603552186,72472300
2015-02-25,176.25738525390625,176.76542811221165,175.9159111162104,176.28236992657872,73061700
2015-02-26,176.04916381835938,176.32400791464897,175.44116958639532,176.16576318875087,72697900
2015-02-27,175.4495086669922,176.21573492688958,175.39953932305647,175.94921481472784,108076000
2015-03-02,176.5572967529297,176.6155901136835,175.49956518351564,175.54953455227172,87491400
2015-03-03,175.83265686035156,176.60721999893983,174.96649170855645,176.1241617131455,110325800
2015-03-04,175.09141540527344,175.30796622488853,174.11697484214986,175.23299948281638,114497200
2015-03-05,175.28294372558594,175.56611181957166,174.77490087066866,175.41619107615773,76873000
2015-03-06,172.8176727294922,174.84984402288066,172.48453531119614,174.41675521239347,188128000
2015-03-09,173.5339813232422,173.89210351919905,172.85936958973704,173.01761435851117,89818900
2015-03-10,170.71893310546875,172.24306212630245,170.67728773603739,172.15978409582223,157121300
2015-03-11,170.31915283203125,171.15200932509742,170.235862099372,170.97710386986563,110145700
2015-03-12,172.4845428466797,172.55116016654694,170.90210826969547,170.95207761378515,93993500
2015-03-13,171.4268341064453,173.17582491906492,170.3857636078455,172.2097211547332,162410900
2015-03-16,173.71719360351562,173.80880831804816,171.45182312451158,172.159756164843,136099200
2015-03-17,173.20082092285156,173.58392774659123,172.38461250841834,172.97594613859914,94510400
2015-03-18,175.28294372558594,175.95755530000199,172.08476585266823,172.726068766536,228808500
2015-03-19,174.4833221435547,175.2911934345885,174.09187882899712,174.8664414735971,117917300
2015-03-20,176.02357482910156,176.53388558530708,175.2539281216473,175.43797546094166,177715100
2015-03-23,175.6805877685547,176.60918567164998,175.6805877685547,176.0319474122786,71784500
2015-03-24,174.69337463378906,176.0151502132555,174.62644718740637,175.55504476267038,77805300
2015-03-25,172.13345336914062,175.13676358623536,172.09163488323603,174.90252389870506,159521700
2015-03-26,171.72354125976562,172.64376496161267,170.76147354156856,171.46420537319867,153067200
2015-03-27,172.11680603027344,172.2924794898666,171.41407389656743,171.60649518198431,118939000
2015-03-30,174.21656799316406,174.51773519993907,173.13739294853366,173.1541152407761,96180400
2015-03-31,172.6939697265625,174.09105958057938,172.63541618271094,173.3883276986149,126768700
2015-04-01,172.08326721191406,172.68560150599933,171.0877421212702,172.66050530750462,137303600
2015-04-02,172.7023468017578,173.15409116655843,171.8323026519915,172.01634996193795,86900900
2015-04-06,173.86521911621094,174.3838910401443,171.67339877689582,171.80724094864323,114368200
2015-04-07,173.40505981445312,174.64318577532939,173.37160247069164,173.89027427218582,81236300
2015-04-08,173.99069213867188,174.434075427146,173.23778049242375,173.63097137316254,89351900
2015-04-09,174.76034545898438,174.99458521402363,173.329810723931,173.82338643882733,85548900
2015-04-10,175.71401977539062,175.75585103375212,174.8105309733427,175.01130058930542,72722900
2015-04-13,174.9193115234375,176.20764305118132,174.8691191095195,175.57183843459228,74436600
2015-04-14,175.25384521484375,175.43789246707144,174.09100817491574,174.71843850793667,75099900
2015-04-15,176.04025268554688,176.5505633129396,175.63870075804124,175.7223632602783,99529300
2015-04-16,175.9900665283203,176.50037717380133,175.50485208137886,175.70563443480137,68934900
2015-04-17,173.965576171875,175.03638996561168,173.1791944997324,174.79378910074786,191113200
2015-04-20,175.55511474609375,175.88973934629706,174.81056416029767,174.89421392779337,92189500
2015-04-21,175.34591674804688,176.39999540007486,175.0447495953094,176.24104429653198,72559800
2015-04-22,176.20761108398438,176.39165841170117,174.76032866465607,175.6889264490061,78264600
2015-04-23,176.6510009765625,177.30352779382744,175.68893304282474,175.8060529134849,102585900
2015-04-24,177.0609130859375,177.32862294019844,176.6091686632577,177.06928699707592,61327400
2015-04-27,176.32470703125,177.7552414347737,176.1322858187617,177.62976043976505,79358100
2015-04-28,176.88525390625,176.93544631668829,175.12008180355005,176.2996545092876,86863500
2015-04-29,176.15740966796875,176.759731260012,175.34593179139378,175.99008464034338,125684900
2015-04-30,174.3922119140625,175.9733361751273,173.68948009184058,175.58014539588476,161304900
2015-05-01,176.28289794921875,176.3247292078516,175.07822918519778,175.17861399383023,103399700
2015-05-04,176.78482055664062,177.37041979285175,176.60077325881628,176.7095191965445,70927200
2015-05-05,174.76034545898438,176.90198613594362,174.61812937664692,176.54225259170593,113326200
2015-05-06,174.0408935546875,175.62201830573386,172.9700795838788,175.31248993193884,135060200
2015-05-07,174.73524475097656,175.1619057521025,173.60587726795188,173.94050183363868,88244900
2015-05-08,177.0358123779297,177.23659476351634,176.33309317603857,176.41675569464337,155877300
2015-05-11,176.19091796875,177.2617320766728,176.11562934360958,176.99403493224764,75708100
2015-05-12,175.66378784179688,176.20756854791395,174.52604680197183,175.3542595767689,119727600
2015-05-13,175.69729614257812,176.70118251004993,175.46305641567162,176.07375193474158,94667900
2015-05-14,177.5294189453125,177.6214426191333,176.44186991791494,176.71794093937729,95934000
2015-05-15,177.7218780517578,177.86409417632527,177.23666333935012,177.7218780517578,76510100
2015-05-18,178.2739715576172,178.52493361176826,177.48758974765167,177.55451721712848,74549700
2015-05-19,178.2154083251953,178.66716556071992,177.93097614881896,178.39109453125707,72114600
2015-05-20,178.0898895263672,178.8428010724165,177.77198729953844,178.3157553311177,76857500
2015-05-21,178.6085968017578,178.81774035773176,177.78038372466148,177.94770878152835,64764600
2015-05-22,178.18190002441406,178.6420055101832,178.11497257291344,178.22371851213407,57433500
2015-05-26,176.2661590576172,178.11499342205528,175.8478720106057,177.6883324644347,124308600
2015-05-27,177.9393310546875,178.17357081114758,176.31637505270746,176.72630100906727,93214000
2015-05-28,177.73855590820312,177.8473018713344,177.04419780695585,177.6297971799629,74974600
2015-05-29,176.63426208496094,177.71343710082385,176.36656500002388,177.671618606224,124919600
2015-06-01,176.9939727783203,177.6381255873553,176.19921724166863,177.3035010830542,93338800
2015-06-02,176.8183135986328,177.5126716778676,175.90645083492186,176.53388145006198,91531000
2015-06-03,177.28677368164062,177.91420422812087,176.7931980487019,177.3537011384114,87820900
2015-06-04,175.78932189941406,177.2365915361448,175.47141965263435,176.57570360559043,151882800
2015-06-05,175.4882049560547,176.1658281370686,174.82730407115878,175.63878221178598,121704700
2015-06-08,174.408935546875,175.52995435437154,174.3336469541261,175.3793644037682,89063300
2015-06-09,174.38381958007812,174.92760025130906,173.74802803821095,174.38381958007812,105034700
2015-06-10,176.475341796875,176.8601715822885,175.09499934104514,175.15355290278237,134551300
2015-06-11,177.04417419433594,177.42899111737034,176.6844407070397,176.91868042500167,73876400
2015-06-12,175.68894958496094,176.91871472523638,175.41287855703078,176.21599543511033,135382400
2015-06-15,174.93597412109375,175.2204061922185,173.83169041187284,174.5427833547898,124384200
2015-06-16,175.8897247314453,175.97338725709966,174.6097672326107,174.78544066533198,85308200
2015-06-17,176.17410278320312,176.7848109496627,175.14512041227093,176.17410278320312,126708600
2015-06-18,178.00624084472656,178.47472031112082,176.20761158658254,176.77647586288757,165867900
2015-06-19,177.216064453125,177.83814529697008,176.83777742164193,177.762490456114,130478700
2015-06-22,178.12387084960938,178.71231847037,177.91371006882372,178.14068730368712,70696000
2015-06-23,178.24996948242188,178.58623444175888,177.8548789993954,178.33403892905528,68476800
2015-06-24,176.95545959472656,178.35933272303095,176.9302413154973,177.98104570739,92307300
2015-06-25,176.41749572753906,177.58599001264054,176.34184086949494,177.459898582567,97107400
2015-06-26,176.3837890625,177.02267337335255,175.8289613880443,176.77887962524358,104174800
2015-06-29,172.6849822998047,176.392223128943,172.60932746505532,174.89587875918133,202621300
